bsse02163133|Linear|Java|DSA|CCN|PP|HRM|
bsse02163134|Linear|Java|DSA|CCN|PP|HRM|
bsse02163135|Linear|Java|DSA|CCN|PP|HRM|
bsse02163136|Linear|Java|DSA|CCN|PP|HRM|
bsse02163137|Linear|Java|DSA|CCN|PP|HRM|
bsse02163138|Linear|Java|DSA|CCN|PP|HRM|
bsse02163139|Linear|Java|DSA|CCN|PP|HRM|
bsse02163140|Linear|Java|DSA|CCN|PP|HRM|
bsse02163141|Linear|Java|DSA|CCN|PP|HRM|
bsse02163142|Linear|Java|DSA|CCN|PP|HRM|
bsse02163143|Linear|Java|DSA|CCN|PP|HRM|
bsse02163144|Linear|Java|DSA|CCN|PP|HRM|
bsse02163145|Linear|Java|DSA|CCN|PP|HRM|
bsse02163146|Linear|Java|DSA|CCN|PP|HRM|
bsse02163147|Linear|Java|DSA|CCN|PP|HRM|
bsse02163148|Linear|Java|DSA|CCN|PP|HRM|
